round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.7763568394002505e-14,,0.761121816,3.2360256e7,7.105427357601002e-15
2,4,0,7.105427357601002e-15,,0.10783479,50144.0,7.105427357601002e-15
3,8,0,1.7763568394002505e-15,,0.197157649,94928.0,8.881784197001252e-16
4,16,4,6.217248937900877e-15,,0.405735544,184432.0,5.551115123125783e-15
5,32,12,9.769962616701378e-15,,0.795605958,219904.0,2.220446049250313e-16
6,64,28,5.440092820663267e-15,,1.622699287,274848.0,4.440892098500626e-16
7,128,60,8.992806499463768e-15,,3.229206342,422816.0,4.440892098500626e-16
8,256,124,1.532107773982716e-14,,6.608452849,664992.0,-2.220446049250313e-15
9,512,252,2.1760371282653068e-14,,13.440283799,1.252544e6,-8.881784197001252e-16
10,1024,508,1.3877787807814457e-14,,25.668618605,2.225568e6,0.0
11,2048,864,0.16798492847762758,,30.624085653,1.33669052e9,56.56264204342647
12,4096,1744,0.16268851003072682,,60.356793223,2.635096288e9,56.556774150361335
