parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
b.1,5.80281264581933,0.35798049208326066,0.12108628869680876,8.873881033698805,17.94730704368405,1.8852606854046619,
b.2,1.974065694454401,0.09962781099910575,0.03172962040487847,10.93221735499502,38.00363754803798,1.399072792134176,
b.3,-0.006711196705225818,0.15546603201275996,0.05104049659185939,9.075341698518434,24.503602974614445,1.935276243980332,
b.4,1.5609603078710028,0.08665716298937845,0.028433330025555592,10.071906444837095,21.432493039913474,1.5225467364323504,
b.5,0.13437555803394718,0.007686056115814244,0.0009737949189372552,61.64177333464691,263.19380650942725,1.0070887464069813,
b.6,-0.04163231525774386,0.006316162159052981,0.0009521996898665562,44.11211165394118,182.2157000597295,1.08111326109963,
b.7,0.017250884600140813,0.005544796889840724,0.0006442865107320232,73.22501802495363,362.820701154003,1.0490580942163212,
b.8,-0.0037188711561169235,0.004573124171674162,0.00028249167023352623,263.2495397127173,456.8939428460535,1.002162331352919,
b.9,-0.44505246163287726,0.006059999879367645,0.00042783952437307123,209.22673938631237,271.4612133888672,1.0086072466310783,
b.10,-0.09086414811867118,0.00577458191894793,0.00036871142036486567,248.56833672335927,467.14743380716664,1.0016383407685465,
