round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,1.309450583,3.239416e7,1.8189894035458565e-12
2,4,0,0.0,,1.009649391,59008.0,9.094947017729282e-13
3,8,0,4.490630090003833e-12,,2.097974547,110192.0,-5.115907697472721e-13
4,16,4,1.1937117960769683e-12,,4.037840764,212496.0,-1.7763568394002505e-14
5,32,12,5.324629626102251e-13,,5.7726164,256320.0,-9.636735853746359e-14
6,64,28,3.552713678800501e-13,,12.235354006,323040.0,2.220446049250313e-14
7,128,60,5.825340210208196e-13,,25.635249511,494560.0,-5.728750807065808e-14
8,256,124,6.892264536872972e-13,,54.947626437,783840.0,-3.552713678800501e-15
9,512,252,7.888134589961737e-13,,108.905955447,1.4656e6,-3.730349362740526e-14
10,1024,508,6.883382752675971e-13,,211.001635002,2.62704e6,-2.4424906541753444e-14
11,2048,0,5.611369986832235,,217.129268652,1.9999038e9,2980.140140426801
12,4096,1,5.89830080108945,,434.138441273,3.962808944e9,3048.879887123265
