parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta.1,7.13068542825269,6.444878198059631,0.5605318524955076,196.05619912464525,162.04200790913913,1.0106774995254566,
theta.2,5.402683284694039,4.897147561415351,0.39362170852853956,208.2955283674571,173.50633459510027,1.0014165260164785,
theta.3,4.159007972644398,4.963423061983921,0.312150018534331,248.9567213362922,643.7852801502689,1.0012048610575721,
theta.4,5.191333374401019,4.860272106731989,0.38293523608553265,214.27044514923358,154.34309471933634,1.0128070802828897,
theta.5,3.7493070263173234,5.045933719971997,0.35129111262831314,219.70687748843426,270.73322213919505,1.0055266677912775,
theta.6,4.135068157442741,4.7218726264131625,0.32506210438128735,209.76300658443864,444.8804284655653,1.0003931585242705,
theta.7,6.469163122443135,5.0856547435754385,0.2760471510919248,321.69510762491007,553.7303206129343,1.0082409255881832,
theta.8,4.82844683124468,5.113616175260486,0.2852761099110451,316.83454748391995,455.5318523473646,0.999911630823478,
mu,4.612951434179115,3.2397221330354764,0.23963405767546772,183.0429000688579,224.61350101519827,1.004995653420848,
tau,3.749034961163772,3.464906774375199,0.24204487845061481,187.84750093934156,201.9193088962403,1.001507574291886,
