round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,7.105427357601002e-15,,0.716143557,3.2365152e7,0.0
2,4,0,7.105427357601002e-15,,0.011516229,52544.0,-7.105427357601002e-15
3,8,0,1.4210854715202004e-14,,0.029862815,99056.0,-4.440892098500626e-15
4,16,4,8.881784197001252e-15,,0.06092721,192016.0,2.6645352591003757e-15
5,32,12,1.2434497875801753e-14,,0.105327078,229696.0,-2.886579864025407e-15
6,64,28,1.199040866595169e-14,,0.214094256,287712.0,1.5543122344752192e-15
7,128,60,1.5987211554602254e-14,,0.414408272,441824.0,2.220446049250313e-15
8,256,124,1.3655743202889425e-14,,0.829627979,696288.0,0.0
9,512,252,1.7208456881689926e-14,,1.635203631,1.308416e6,-8.881784197001252e-16
10,1024,508,1.887379141862766e-14,,3.281792781,2.330592e6,4.440892098500626e-16
11,2048,115,1.8501749035219786,,13.013983298,1.567605688e9,-31.227807839399606
12,4096,286,2.3983022005255767,,22.294046894,2.7462872e9,-31.443411527990023
