round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,0.995075967,3.2359952e7,2.842170943040401e-14
2,4,0,2.842170943040401e-14,,0.144035351,50144.0,8.526512829121202e-14
3,8,0,1.2789769243681803e-13,,0.247646904,94928.0,2.842170943040401e-14
4,16,4,9.947598300641403e-14,,0.511267077,184432.0,2.4868995751603507e-14
5,32,12,8.881784197001252e-14,,1.06920772,219904.0,-7.549516567451064e-15
6,64,28,1.4055423491754482e-13,,2.124898952,274848.0,3.552713678800501e-15
7,128,60,1.1890488593735427e-13,,4.088930102,422816.0,-2.6645352591003757e-15
8,256,124,1.3933298959045715e-13,,8.194906222,664992.0,-8.43769498715119e-15
9,512,252,1.249000902703301e-13,,16.065591411,1.252544e6,-2.6645352591003757e-15
10,1024,508,1.389999226830696e-13,,32.924786573,2.225568e6,8.881784197001252e-16
11,2048,520,0.762293108185823,,36.796534242,9.58129336e8,-450.96715057987933
12,4096,1098,0.7654263116852708,,72.293550193,1.874842064e9,-450.98489726675183
