round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.0658141036401503e-14,,0.840533358,3.2358672e7,5.329070518200751e-15
2,4,0,1.0658141036401503e-14,,0.050431016,49888.0,2.6645352591003757e-15
3,8,0,2.6645352591003757e-15,,0.123766086,94480.0,3.552713678800501e-15
4,16,4,7.993605777301127e-15,,0.195392958,183600.0,8.881784197001252e-16
5,32,12,6.439293542825908e-15,,0.438986072,218752.0,1.7763568394002505e-15
6,64,28,7.327471962526033e-15,,0.858051142,273184.0,0.0
7,128,60,6.772360450213455e-15,,1.792859798,420128.0,-8.881784197001252e-16
8,256,124,9.325873406851315e-15,,3.513509536,660256.0,-4.440892098500626e-16
9,512,252,9.769962616701378e-15,,6.91938488,1.243712e6,8.881784197001252e-16
10,1024,508,1.2878587085651816e-14,,13.953111507,2.208544e6,4.440892098500626e-16
11,2048,958,0.06626847385147017,,18.381024397,9.50295608e8,-28.941640758324517
12,4096,1900,0.0771442269074909,,36.383527989,1.866520864e9,-28.9412655558449
