parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta1.1,0.9658508052714083,0.019361076473599633,0.0005149367942181083,1285.0165625077607,1455.0016205119437,1.000472202863011,
theta1.2,0.034149194728591695,0.019361076473599633,0.0005149367942181077,1285.0165625077607,1455.0016205119437,1.000472202863011,
theta2.1,0.008853261910180626,0.005247512762840773,0.00013350992448944615,1418.762548868109,1280.1326166916415,1.0004000040065395,
theta2.2,0.9911467380898193,0.005247512762840773,0.00013350992448944623,1418.7625488681092,1280.1326166916415,1.000399387396443,
phi.1,-2.344055095125965,0.011427537683821131,0.0003112019331668293,1350.1837736588348,1707.319697671436,1.0000048725359054,
phi.2,-0.7442267718499784,0.005569304069715422,8.773568914396047e-5,4032.475018781908,4153.5061709851125,0.9999086576531702,
lambda.1,2.4280032312020623,0.01115069098017643,0.00029312488193972245,1447.0281323434235,1865.7463903138375,0.999878209901103,
lambda.2,3.542322744459753,0.005606577388298297,9.042578949666223e-5,3843.025224390483,3810.493302339958,0.9998267959584515,
theta.1.1,0.9658508052714083,0.019361076473599633,0.0005149367942181083,1285.0165625077607,1455.0016205119437,1.000472202863011,
theta.2.1,0.008853261910180626,0.005247512762840773,0.00013350992448944615,1418.762548868109,1280.1326166916415,1.0004000040065395,
