round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,7.275957614183426e-12,,4.066146096,3.2391424e7,-9.094947017729282e-13
2,4,0,3.637978807091713e-12,,3.904109567,78720.0,2.7284841053187847e-12
3,8,0,9.094947017729282e-13,,6.962367825,151856.0,0.0
4,16,4,1.0231815394945443e-12,,11.484848725,298064.0,-3.9812597663058114e-13
5,32,12,1.3642420526593924e-12,,22.319134447,445376.0,2.5646151868841116e-13
6,64,28,2.1316282072803006e-12,,57.603665364,723552.0,7.105427357601002e-14
7,128,60,1.7903456495105274e-12,,135.715002613,1.317984e6,2.2026824808563106e-13
8,256,124,2.472577698142686e-12,,248.787469179,2.453088e6,7.549516567451064e-14
9,512,252,2.1316282072803006e-12,,465.786712419,4.826496e6,-1.6431300764452317e-14
10,1024,508,2.319922032256727e-12,,923.768024929,9.371232e6,-3.241851231905457e-14
11,2048,375,1.1517787722075865,,874.527796502,1.440799912e9,-6944.967716020779
12,4096,810,1.2562167363710093,,1763.444297528,2.85141192e9,-6945.088028188695
