parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta1.1,0.6687464154764049,0.10018898402536988,0.0023284922031213597,1806.9355566195125,2062.5960408960977,0.9999075022610159,
theta1.2,0.331253584523595,0.10018898402536988,0.00232849220312136,1806.9355566195125,2062.5960408960977,0.9999075022610159,
theta2.1,0.07273312800924751,0.028359363581431474,0.0006656807047071905,1703.12438306374,1957.118220657982,1.0011240738167209,
theta2.2,0.9272668719907524,0.028359363581431474,0.0006656807047071903,1703.1243830637422,1957.118220657982,1.0011240738167209,
mu.1,3.024639267688639,0.2252422197329707,0.005305335757703578,1808.794695067608,2011.0881234275462,0.9998052943708476,
mu.2,8.823968042673057,0.10817659111143495,0.0017979618544300986,3619.075987115813,3850.485279980324,1.0000546326832642,
theta.1.1,0.6687464154764049,0.10018898402536988,0.0023284922031213597,1806.9355566195125,2062.5960408960977,0.9999075022610159,
theta.2.1,0.07273312800924751,0.028359363581431474,0.0006656807047071905,1703.12438306374,1957.118220657982,1.0011240738167209,
theta.1.2,0.331253584523595,0.10018898402536988,0.00232849220312136,1806.9355566195125,2062.5960408960977,0.9999075022610159,
theta.2.2,0.9272668719907524,0.028359363581431474,0.0006656807047071903,1703.1243830637422,1957.118220657982,1.0011240738167209,
