round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,8.526512829121202e-14,,1.23105441,3.2363904e7,1.4210854715202004e-14
2,4,0,5.684341886080802e-14,,0.81719657,57440.0,-7.105427357601002e-15
3,8,0,2.1316282072803006e-14,,1.342403074,109520.0,2.1316282072803006e-14
4,16,4,2.1316282072803006e-14,,2.565333276,213616.0,-1.0658141036401503e-14
5,32,12,4.618527782440651e-14,,4.681261246,278272.0,6.661338147750939e-15
6,64,28,2.6645352591003757e-14,,8.756312715,391584.0,2.220446049250313e-15
7,128,60,2.6423307986078726e-14,,17.886819359,656288.0,3.552713678800501e-15
8,256,124,5.1514348342607263e-14,,36.13765674,1.131936e6,-4.440892098500626e-15
9,512,252,2.3314683517128287e-14,,71.019356648,2.186432e6,8.881784197001252e-16
10,1024,508,4.518607710224387e-14,,143.426573044,4.093344e6,4.440892098500626e-16
11,2048,511,0.811112636314552,,141.089007862,1.176687096e9,-172.68718515324846
12,4096,1098,0.7986637760073688,,270.829670912,2.325298896e9,-172.70593842487057
