round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,9.094947017729282e-13,,0.708688685,3.2360304e7,-2.2737367544323206e-13
2,4,0,0.0,,0.127922737,50688.0,0.0
3,8,0,1.1368683772161603e-13,,0.263511514,95856.0,5.684341886080802e-14
4,16,4,1.7053025658242404e-13,,0.530932378,186128.0,8.526512829121202e-14
5,32,12,1.9895196601282805e-13,,1.145327183,222016.0,-2.8199664825478976e-14
6,64,28,4.761746552617296e-13,,2.317580193,277472.0,-6.417089082333405e-14
7,128,60,6.217248937900877e-13,,3.594073984,426464.0,-5.1958437552457326e-14
8,256,124,5.400124791776761e-13,,10.044865434,670688.0,-1.554312234475219e-14
9,512,252,5.28577182024037e-13,,17.599490232,1.262336e6,-2.7533531010703882e-14
10,1024,508,6.057376822354854e-13,,34.671697958,2.243552e6,6.661338147750939e-15
11,2048,741,0.33349544689461963,,37.370704998,1.171905048e9,-1861.060419331132
12,4096,1460,0.3513080574330034,,74.307637146,2.30527408e9,-1861.062111418856
