round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,3.637978807091713e-12,,0.851137479,3.2358976e7,-9.094947017729282e-13
2,4,0,2.7284841053187847e-12,,0.128610693,49888.0,-1.1368683772161603e-13
3,8,0,5.684341886080801e-13,,0.125369594,94480.0,-2.2737367544323206e-13
4,16,4,5.115907697472721e-13,,0.273171056,183600.0,-2.2737367544323206e-13
5,32,12,4.121147867408581e-13,,0.766911559,218752.0,7.105427357601002e-15
6,64,28,5.118128143521972e-13,,1.386438695,273184.0,-2.842170943040401e-14
7,128,60,4.691802502065912e-13,,2.734394503,420128.0,-1.5987211554602254e-14
8,256,124,6.413758413259529e-13,,4.323699763,660256.0,-3.241851231905457e-14
9,512,252,6.662448370775564e-13,,9.148895579,1.243712e6,1.3766765505351941e-14
10,1024,508,5.859757123971576e-13,,17.503079665,2.208544e6,7.105427357601002e-15
11,2048,230,1.2213011812082366,,22.606947286,1.130892712e9,-1882.0378268341042
12,4096,666,1.4427517878014275,,46.306596895,2.267068464e9,-1882.3041242934128
