round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,6.821210263296962e-13,,1.079816987,3.2359952e7,2.2737367544323206e-13
2,4,0,5.684341886080801e-13,,0.72241861,50144.0,0.0
3,8,0,2.2737367544323206e-13,,1.020510499,94928.0,2.842170943040401e-14
4,16,4,3.694822225952521e-13,,1.770671548,184432.0,9.947598300641403e-14
5,32,12,3.126388037344441e-13,,3.37015199,219904.0,-6.372680161348399e-14
6,64,28,5.259126467649367e-13,,6.634398591,274848.0,-1.0880185641326534e-14
7,128,60,4.2643666375852263e-13,,10.9537206,422816.0,1.4210854715202004e-14
8,256,124,4.549693954913892e-13,,21.676632084,664992.0,-4.4853010194856324e-14
9,512,252,3.1885605267234496e-13,,39.497677469,1.252544e6,-9.325873406851315e-15
10,1024,508,2.799982468104645e-13,,83.594656057,2.225568e6,-4.884981308350689e-15
11,2048,17,2.1932241938491472,,76.470338211,1.316568952e9,-1548.937988571642
12,4096,260,1.9743913042063093,,174.337172542,2.83560104e9,-1549.8520857258513
