round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,6.821210263296962e-13,,1.271812081,3.2360304e7,3.410605131648481e-13
2,4,0,4.547473508864641e-13,,0.792957081,50688.0,5.684341886080802e-14
3,8,0,1.7053025658242404e-13,,1.276833456,95856.0,-8.526512829121202e-14
4,16,4,6.821210263296962e-13,,2.693630319,186128.0,1.4210854715202004e-14
5,32,12,4.689582056016661e-13,,5.254577529,222016.0,2.1760371282653068e-14
6,64,28,4.4775294583132563e-13,,10.038963195,277472.0,-4.263256414560601e-14
7,128,60,3.801403636316536e-13,,18.895161488,426464.0,-4.440892098500626e-16
8,256,124,3.623767952376511e-13,,33.898264646,670688.0,3.6415315207705135e-14
9,512,252,3.9179770539021774e-13,,64.225622406,1.262336e6,3.1086244689504383e-15
10,1024,508,4.902744876744691e-13,,127.906887447,2.243552e6,-1.687538997430238e-14
11,2048,17,2.7161035911730647,,129.470048785,1.390411864e9,-1553.1011464728454
12,4096,130,3.046560342434868,,260.062296145,2.781745968e9,-1552.9891864075964
