round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,1.26406504,3.2360304e7,0.0
2,4,0,2.2737367544323206e-13,,0.450193843,50688.0,0.0
3,8,0,6.821210263296962e-13,,0.863131006,95856.0,2.842170943040401e-14
4,16,4,7.389644451905042e-13,,2.086632603,186128.0,-2.842170943040401e-14
5,32,12,3.694822225952521e-13,,2.537043889,222016.0,-1.27675647831893e-13
6,64,28,3.483879851273741e-13,,5.694488217,277472.0,-3.197442310920451e-14
7,128,60,2.772226892489016e-13,,17.555449117,426464.0,2.2648549702353193e-14
8,256,124,3.959055305813308e-13,,29.574768087,670688.0,-5.329070518200751e-15
9,512,252,2.594591208548991e-13,,59.223536665,1.262336e6,-9.769962616701378e-15
10,1024,508,2.4491519923230953e-13,,118.280164496,2.243552e6,7.993605777301127e-15
11,2048,434,1.0202297911355247,,117.958195712,1.208040568e9,-1550.6242072496948
12,4096,931,0.9952335705510075,,231.715559323,2.399690656e9,-1550.659270423771
