round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,0.903904078,3.2360256e7,0.0
2,4,0,1.1368683772161603e-13,,0.214090516,50144.0,-3.410605131648481e-13
3,8,0,5.115907697472721e-13,,0.668148003,94928.0,2.842170943040401e-14
4,16,4,4.547473508864641e-13,,1.128601187,184432.0,8.526512829121202e-14
5,32,12,4.263256414560601e-13,,2.268064744,219904.0,-1.354472090042691e-13
6,64,28,4.548583731889266e-13,,4.257037456,274848.0,-3.9745984281580604e-14
7,128,60,3.552713678800501e-13,,8.06333155,422816.0,1.687538997430238e-14
8,256,124,4.424238753131249e-13,,15.835938414,664992.0,-1.3322676295501878e-14
9,512,252,2.737809978725636e-13,,28.518349998,1.252544e6,7.105427357601002e-15
10,1024,508,4.085620730620576e-13,,53.548925776,2.225568e6,-1.7319479184152442e-14
11,2048,31,1.9384764572604734,,53.148602047,8.87817928e8,-1544.935518262139
12,4096,108,2.3210597625424065,,104.895627729,1.85285432e9,-1545.2500660455605
