round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.4210854715202004e-14,,0.688232249,3.236224e7,-7.105427357601002e-15
2,4,0,1.4210854715202004e-14,,0.034140825,51488.0,-8.881784197001252e-15
3,8,0,1.9539925233402755e-14,,0.074466367,97232.0,-1.7763568394002505e-15
4,16,4,3.552713678800501e-15,,0.107582809,188656.0,2.220446049250313e-16
5,32,12,4.9960036108132044e-15,,0.222946658,225280.0,0.0
6,64,28,2.220446049250313e-15,,0.430966607,281760.0,0.0
7,128,60,3.219646771412954e-15,,0.899987511,432800.0,8.881784197001252e-16
8,256,124,3.4416913763379853e-15,,1.838013223,681120.0,0.0
9,512,252,5.440092820663267e-15,,3.672832208,1.28096e6,4.440892098500626e-16
10,1024,508,6.328271240363392e-15,,7.315776871,2.27856e6,0.0
11,2048,178,1.9163079504819667,,13.638729961,1.015795144e9,-19.938809757680545
12,4096,457,2.158280432710965,,25.01775201,1.919218016e9,-20.41694681243093
