round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,2.842170943040401e-14,,0.645623829,3.2358976e7,-7.105427357601002e-15
2,4,0,2.4868995751603507e-14,,0.007089156,49888.0,-1.4210854715202004e-14
3,8,0,9.769962616701378e-15,,0.015624568,94480.0,1.3322676295501878e-15
4,16,4,5.329070518200751e-15,,0.034886298,183600.0,0.0
5,32,12,8.881784197001252e-15,,0.083062075,218752.0,-2.220446049250313e-16
6,64,28,6.772360450213455e-15,,0.161520384,273184.0,-4.440892098500626e-16
7,128,60,7.438494264988549e-15,,0.313828089,420128.0,0.0
8,256,124,8.326672684688674e-15,,0.641202545,660256.0,8.881784197001252e-16
9,512,252,8.43769498715119e-15,,1.277805287,1.243712e6,0.0
10,1024,508,1.27675647831893e-14,,2.540333303,2.208544e6,-4.440892098500626e-16
11,2048,676,0.48124020922028155,,7.200487476,1.12672972e9,-29.758581847059695
12,4096,1382,0.4619663136482418,,13.824867046,2.217357712e9,-29.747918236104212
