parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta.1,0.5463033091466192,0.058799282694022244,0.002976244836288255,373.00140857340926,404.54553814159317,1.0017529717321962,
theta.2,0.027611034457325476,0.0038096665412765034,0.00019414876381805722,369.2580077446952,471.7288792870861,1.0017468283526332,
theta.3,0.7999138018718759,0.08234889426796035,0.004395744835095759,362.05454300064866,365.10808632399346,1.0067968931541074,
theta.4,0.02409747388200899,0.0032872715900190918,0.00016382054938293738,421.2210566177345,456.42987293521674,1.0073457822394414,
z_init.1,33.993270610742115,2.9929800769674864,0.0975528559210115,952.7232635986984,1103.5050650868113,0.999862182715133,
z_init.2,5.9380958797904695,0.5176361707862902,0.01773567099385563,855.1425347206849,1224.2850211009325,1.0010240365232994,
sigma.1,0.2489396543711518,0.04397374336999558,0.00167420513126098,653.7209617511382,990.6023215317621,1.0003028948108263,
sigma.2,0.2514084389108715,0.04403154151103894,0.0016235462396780808,772.1012662885634,1049.7644147127844,1.003310356279666,
z.1.1,49.27095431443361,4.4716613679398085,0.16337476321714087,764.3302450371569,943.7925608563553,1.000033888985435,
z.2.1,65.682402478902,6.4694064096593955,0.25513199102025674,643.6844438830789,757.7048622796394,1.0022843989300891,
