round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,5.684341886080802e-14,,4.318285584,3.238216e7,0.0
2,4,0,8.526512829121202e-14,,1.994227571,57248.0,7.105427357601002e-15
3,8,0,4.973799150320701e-14,,3.737753214,108688.0,-3.552713678800501e-15
4,16,4,5.684341886080802e-14,,7.300698356,211504.0,2.1316282072803006e-14
5,32,12,2.842170943040401e-14,,14.685723999,270464.0,-7.993605777301127e-15
6,64,28,4.241051954068098e-14,,30.273350589,371488.0,-1.5543122344752192e-15
7,128,60,3.186340080674199e-14,,58.621599325,611616.0,2.6645352591003757e-15
8,256,124,2.4980018054066022e-14,,114.724079865,1.038112e6,-4.440892098500626e-16
9,512,252,2.4313884239290928e-14,,225.811643607,1.994304e6,-4.440892098500626e-16
10,1024,508,1.9984014443252818e-14,,400.066996762,3.704608e6,-4.440892098500626e-16
11,2048,37,2.9934806413278667,,343.350725653,1.469608696e9,-146.53718362527692
12,4096,444,2.2725312842639087,,799.783380181,3.34961408e9,-147.08802733445464
