round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.3642420526593924e-12,,1.514308839,3.2360608e7,0.0
2,4,0,6.821210263296962e-13,,1.557426198,50688.0,0.0
3,8,0,3.410605131648481e-13,,2.663284259,95856.0,-2.8421709430404007e-13
4,16,4,5.684341886080802e-14,,6.322757527,186128.0,-2.842170943040401e-14
5,32,12,2.5579538487363607e-13,,11.074199328,222016.0,2.842170943040401e-14
6,64,28,9.936496070395151e-14,,17.858792323,277472.0,-1.4210854715202004e-14
7,128,60,1.2079226507921703e-13,,65.409779712,426464.0,3.597122599785507e-14
8,256,124,1.1735057370287905e-13,,102.865862634,670688.0,-4.440892098500626e-16
9,512,252,6.405986852087153e-14,,200.091282742,1.262336e6,3.9968028886505635e-15
10,1024,508,1.092459456231154e-13,,399.851504584,2.243552e6,1.7763568394002505e-15
11,2048,745,0.3730172743589323,,368.75959227,1.33337036e9,-2117.0750139772854
12,4096,1492,0.3845087725309221,,731.661636558,2.62524944e9,-2117.0654247568277
