round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,5.684341886080802e-14,,0.75533491,3.236352e7,2.842170943040401e-14
2,4,0,2.842170943040401e-14,,0.06626262,51744.0,1.4210854715202004e-14
3,8,0,2.842170943040401e-14,,0.141484784,97680.0,0.0
4,16,4,4.973799150320701e-14,,0.251805021,189488.0,2.842170943040401e-14
5,32,12,5.3290705182007514e-14,,0.489394289,226432.0,3.774758283725532e-15
6,64,28,4.263256414560601e-14,,0.974598206,283424.0,-1.021405182655144e-14
7,128,60,4.696243394164412e-14,,1.862649963,435488.0,6.661338147750939e-15
8,256,124,3.574918139293004e-14,,3.872966818,685856.0,1.3322676295501878e-15
9,512,252,6.039613253960852e-14,,7.798806631,1.289792e6,1.3322676295501878e-15
10,1024,508,6.927791673660977e-14,,15.461567388,2.295584e6,1.7763568394002505e-15
11,2048,202,1.6723536490165138,,23.174145991,1.4395486e9,-277.57157901841674
12,4096,465,1.8460106356793244,,46.178070904,2.871490592e9,-277.9564913402921
