parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
beta.1,0.024356123276918617,0.4607683841370763,0.02176188417241599,459.523565793132,463.3157698869982,1.0037732219666513,
beta.2,0.9347447895008237,0.03656723564036051,0.0010491805569375666,1216.6044962347924,1742.6480247455488,1.000151587952317,
beta.3,-1.2257978092471853,0.17174253891246632,0.006869265312209032,627.7950028602293,750.620485762257,1.001180317815487,
beta.4,-0.04636931473842383,0.16474724071566796,0.008261613299340364,390.39806229473584,591.1352023103209,1.0040232939194365,
beta.5,-0.2841329835871935,0.17118180801266905,0.008258657511061748,426.6841459001938,503.93225899538436,1.0024493122641547,
beta.6,-0.1310081286091017,0.19149051300292835,0.009811448370822885,394.13778025456486,330.3680811751911,1.0015058645128065,
beta.7,0.2508829900722438,0.06346376196971318,0.001980406449206247,1032.5230320525789,1603.2629967261093,1.002579586013008,
beta.8,-0.05777110297877583,0.10782810716773261,0.003857279340609901,782.6307129929621,1000.820042239596,1.000015057860241,
beta.9,0.2078547799070832,0.0560980576795983,0.001872446426494756,907.1055585443845,1096.9419095396663,1.0004093387685267,
sigma,1.6794682672484993,0.03678231881049887,0.0008528554903707038,1861.5827427255365,2386.4232078184245,0.9997926662685774,
