round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,0.718631931,5.125064e7,-3.9968028886505635e-15
2,4,0,1.2434497875801753e-14,,1.046206457,5.2965144e7,0.0
3,8,0,0.0,,0.240224647,91888.0,0.0
4,16,4,1.0658141036401503e-14,,0.38065737,160176.0,2.6645352591003757e-15
5,32,12,0.0,,0.769243981,234128.0,6.661338147750939e-16
6,64,28,6.661338147750939e-16,,1.530114791,396272.0,-1.3322676295501878e-15
7,128,60,5.10702591327572e-15,,2.993500132,732944.0,0.0
8,256,124,8.326672684688674e-15,,5.814287882,1.355856e6,4.440892098500626e-16
9,512,252,4.6629367034256575e-15,,11.479289872,2.666368e6,0.0
10,1024,508,1.2545520178264269e-14,,23.187533263,5.205488e6,4.440892098500626e-16
11,2048,1020,1.3211653993039363e-14,,48.186338785,1.0472016e7,-4.440892098500626e-16
12,4096,2044,1.1657341758564144e-14,,93.25757241,2.059272e7,0.0
13,8192,4092,1.9317880628477724e-14,,183.538472968,4.1619856e7,0.0
14,16384,8188,1.1102230246251565e-14,,364.433900941,8.2152944e7,1.7763568394002505e-15
15,32768,16380,7.771561172376096e-15,,742.719338759,1.66286368e8,8.881784197001252e-16
16,65536,9164,1.467393100573205,,854.944313996,2.1429932704e10,57.99222434777241
17,131072,21522,1.5557124764543793,,1781.663863431,4.4490783776e10,57.8922194952098
