round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.7763568394002505e-14,,0.652940568,5.125008e7,7.105427357601002e-15
2,4,0,7.105427357601002e-15,,0.995973502,5.2964232e7,7.105427357601002e-15
3,8,0,1.7763568394002505e-15,,0.145271204,89584.0,8.881784197001252e-16
4,16,4,6.217248937900877e-15,,0.236670548,158352.0,5.551115123125783e-15
5,32,12,9.769962616701378e-15,,0.386116033,231392.0,2.220446049250313e-16
6,64,28,5.440092820663267e-15,,0.780981411,392768.0,4.440892098500626e-16
7,128,60,8.992806499463768e-15,,1.564020936,727760.0,4.440892098500626e-16
8,256,124,1.532107773982716e-14,,3.080579248,1.347696e6,-2.220446049250313e-15
9,512,252,2.1760371282653068e-14,,6.041945468,2.652112e6,-8.881784197001252e-16
10,1024,508,1.3877787807814457e-14,,12.042215123,5.178944e6,0.0
11,2048,1020,1.9095836023552692e-14,,24.525171546,1.0420752e7,0.0
12,4096,2044,3.952393967665557e-14,,48.855843369,2.04924e7,8.881784197001252e-16
13,8192,4092,3.11972669919669e-14,,97.433864971,4.142128e7,8.881784197001252e-16
14,16384,8188,4.218847493575595e-14,,195.433581852,8.175776e7,2.6645352591003757e-15
15,32768,16380,2.1871393585115584e-14,,389.975283995,1.65497824e8,-3.552713678800501e-15
16,65536,27834,0.16428434523711644,,489.948849724,2.4253660144e10,56.55764485719186
17,131072,56196,0.16355323383353126,,979.039009003,4.8450341664e10,56.55827062761537
