round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,5.684341886080802e-14,,0.818993952,3.2361584e7,-2.842170943040401e-14
2,4,0,1.7053025658242404e-13,,0.037370622,50944.0,5.684341886080802e-14
3,8,0,1.2789769243681803e-13,,0.060227652,96304.0,-3.552713678800501e-14
4,16,4,9.592326932761353e-14,,0.114850023,186960.0,3.197442310920451e-14
5,32,12,1.9539925233402755e-14,,0.267637429,223168.0,-2.220446049250313e-15
6,64,28,3.108624468950438e-14,,0.559871268,279136.0,-6.8833827526759706e-15
7,128,60,3.2085445411667024e-14,,1.150739032,429152.0,1.3322676295501878e-15
8,256,124,2.864375403532904e-14,,2.317480137,675424.0,-3.552713678800501e-15
9,512,252,2.2093438190040615e-14,,4.49338799,1.271168e6,0.0
10,1024,508,1.8540724511240114e-14,,8.749211931,2.260576e6,-4.440892098500626e-16
11,2048,836,0.2374690619004779,,17.729926327,1.73060636e9,-185.46571781605533
12,4096,1631,0.24154119970940857,,35.162807298,3.432768384e9,-185.46682073791885
