round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,5.4569682106375694e-12,,2.774417031,3.2445536e7,2.7284841053187847e-12
2,4,0,7.275957614183426e-12,,2.824820013,105408.0,9.094947017729282e-13
3,8,0,3.183231456205249e-12,,6.343750532,205360.0,2.8421709430404007e-13
4,16,0,9.734435479913373e-13,,8.063312474,431360.0,-4.869438186005937e-13
5,32,7,6.218359160925502e-13,,18.850320623,690784.0,-9.50350909079134e-14
6,64,23,1.0942358130705543e-12,,32.551752249,891840.0,-1.9872992140790302e-13
7,128,55,1.3913314944602462e-12,,68.049839545,1.16832e6,5.551115123125783e-14
8,256,119,1.4667156378322943e-12,,145.061264144,1.75712e6,-6.217248937900877e-15
9,512,247,1.2720935416155044e-12,,286.124812309,2.8272e6,-5.10702591327572e-14
10,1024,503,1.6364687382974807e-12,,563.255211337,5.17376e6,-9.769962616701378e-15
11,2048,1015,1.3624656958199921e-12,,1021.29944223,9.46272e6,-1.0658141036401503e-14
12,4096,2039,1.446398556481654e-12,,1866.575586703,1.882848e7,6.661338147750939e-15
13,8192,0,6.711363905332384,,2000.879868769,1.6209002632e10,3102.7829443878422
14,16384,9,6.241346396491881,,4085.038581743,3.2315935728e10,3144.517502094278
