round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,0.971697652,3.2358976e7,-1.4901161193847656e-8
2,4,0,2.1827872842550278e-11,,0.707337611,49888.0,4.092726157978177e-12
3,8,0,1.3642420526593924e-12,,1.244646426,110368.0,-1.1368683772161603e-12
4,16,4,3.865352482534945e-12,,1.006697729,183600.0,-3.4083846855992306e-13
5,32,12,1.7053025658242404e-12,,1.485921577,218752.0,-2.2715163083830703e-13
6,64,28,2.8420599207379382e-12,,3.488305111,273184.0,-3.9768188742073107e-13
7,128,60,3.325562047962194e-12,,6.261852785,420128.0,-1.3766765505351941e-14
8,256,124,3.880007426459997e-12,,11.771426854,660256.0,5.639932965095795e-14
9,512,252,3.6380898293941755e-12,,23.329841952,1.243712e6,-9.947598300641403e-14
10,1024,508,4.479638882060044e-12,,49.682231542,2.208544e6,8.43769498715119e-14
11,2048,92,1.8012799770698265,,45.483315649,1.19456052e9,-13405.145677945335
12,4096,387,1.9081522912088102,,88.131503757,2.324749248e9,-13405.516995104768
