parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta.1,6.312704633086702,5.523989341436018,0.055577930270703554,8844.21988111474,16151.262568850552,1.000000892605762,
theta.2,5.044071835967191,4.603265156654348,0.051173374019655195,7164.419952210975,19397.068807226307,1.000328355784341,
theta.3,4.088577638499617,5.159553450787579,0.060348018351763316,6271.781285301626,20578.393411754325,1.0005674873064718,
theta.4,4.9229149773289205,4.752389003470359,0.0543686529746882,6742.902566854245,20123.472972060004,1.000165648309025,
theta.5,3.7427936427433774,4.670715443147574,0.06353210295670454,4918.087442431678,14904.442523078296,1.0010773991831634,
theta.6,4.175574666072659,4.7988034276994265,0.057330992735609494,6103.084291967966,21400.97880430538,1.0005249062149588,
theta.7,6.394275733083651,4.9806899295191736,0.05093467645805922,8052.814889384786,12968.510715737386,1.0000593856317432,
theta.8,4.976153549441975,5.344576633097368,0.05771509839927755,7233.705081115369,19435.157470611866,1.0001955377803315,
mu,4.533546964985499,3.290535375832697,0.052747911657747254,3910.718261284033,7611.344251509117,1.0004523704690567,
tau,3.5508215940913055,3.2518434319002165,0.052822521170140836,1249.4124587929039,420.2475217236878,1.0015500568011377,
