round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,7.105427357601002e-15,,0.732806371,3.2407872e7,3.552713678800501e-15
2,4,0,1.0658141036401503e-14,,0.022638598,98944.0,-3.552713678800501e-15
3,8,0,1.4210854715202004e-14,,0.041155219,194224.0,4.440892098500626e-15
4,16,0,3.375077994860476e-14,,0.086344428,410880.0,-4.218847493575595e-15
5,32,7,2.398081733190338e-14,,0.175230785,651616.0,-3.9968028886505635e-15
6,64,23,2.55351295663786e-14,,0.365619508,838592.0,-3.1086244689504383e-15
7,128,55,2.4313884239290928e-14,,0.750974131,1.097664e6,0.0
8,256,119,2.55351295663786e-14,,1.492701289,1.651648e6,-8.881784197001252e-16
9,512,247,3.5416114485542494e-14,,3.022580402,2.652096e6,-1.7763568394002505e-15
10,1024,503,3.4638958368304884e-14,,6.036787233,4.859392e6,-1.7763568394002505e-15
11,2048,1015,4.1300296516055823e-14,,11.146566231,8.869824e6,8.881784197001252e-16
12,4096,2039,5.595524044110789e-14,,23.049477301,1.7678528e7,8.881784197001252e-16
13,8192,765,1.8165335612304547,,81.443685594,1.2757218488e10,-31.61509082434367
14,16384,1959,2.1578606574428565,,139.340236833,2.2532246992e10,-31.908980127438205
