parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta_trans.1,0.33921425248152576,0.9945522415696132,0.016073870933409097,3827.803511129834,3868.529135149937,1.0003269377112445,
theta_trans.2,0.13327787132456842,0.9168568532804175,0.014779594002411899,3842.8824032205075,3987.1049207689825,1.0001417899038172,
theta_trans.3,-0.05701300392179322,0.9763643650309146,0.016194731727343977,3632.4397618933303,3909.2488161498177,0.9997670512134692,
theta_trans.4,0.06489879736221164,0.9610098880343833,0.01626878287703679,3483.0370483082816,3543.5231106921774,1.0001690613581202,
theta_trans.5,-0.15863754669146352,0.94097604609157,0.015545860798313065,3673.4451568278578,3654.1223023397874,0.9999627779689328,
theta_trans.6,-0.06226856485405251,0.9451194740055356,0.014938526912352854,4001.964223053693,3834.438715713967,1.0005318541407062,
theta_trans.7,0.36417316131614497,0.962990661677249,0.01570952584440928,3758.516121315261,4075.620926288076,1.0002341809718902,
theta_trans.8,0.031542515191677195,0.9775849573675641,0.016281311658701815,3608.0482141237435,4108.155412217411,0.9997572732559529,
mu,4.382466683750691,3.3570508796046106,0.06676823713634208,2533.921697853385,2383.528697705061,0.9999118765995703,
tau,3.5623037972990033,3.189533168462453,0.054958015519384465,3151.77573624989,3175.8397145011495,0.9999740296645564,
