round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,7.105427357601002e-15,,0.74093034,5.125176e7,0.0
2,4,0,7.105427357601002e-15,,1.044535905,5.2966248e7,-1.7763568394002505e-15
3,8,0,1.5987211554602254e-14,,0.05374451,94736.0,-5.329070518200751e-15
4,16,4,7.105427357601002e-15,,0.028257504,162384.0,8.881784197001252e-16
5,32,12,7.993605777301127e-15,,0.056531595,238560.0,-1.7763568394002505e-15
6,64,28,6.8833827526759706e-15,,0.100551829,403520.0,-6.661338147750939e-16
7,128,60,1.1213252548714081e-14,,0.2083032,746352.0,8.881784197001252e-16
8,256,124,1.5987211554602254e-14,,0.406211995,1.380176e6,-8.881784197001252e-16
9,512,252,1.2434497875801753e-14,,0.792499106,2.71304e6,-8.881784197001252e-16
10,1024,508,1.709743457922741e-14,,1.648446511,5.297216e6,-4.440892098500626e-16
11,2048,1020,2.3647750424515834e-14,,3.190077917,1.0654384e7,4.440892098500626e-16
12,4096,2044,2.0872192862952943e-14,,6.360355757,2.095496e7,-8.881784197001252e-16
13,8192,4092,2.2093438190040615e-14,,12.724551212,4.2342368e7,0.0
14,16384,8188,1.8096635301390052e-14,,25.220995837,8.3596352e7,1.7763568394002505e-15
15,32768,16380,2.1760371282653068e-14,,51.417888532,1.69172096e8,-8.881784197001252e-16
16,65536,22624,0.39602221524720205,,165.019428419,2.2818773344e10,-32.002553904871114
17,131072,46378,0.39312007401390336,,326.18701744,4.48060584e10,-32.00299610922859
