round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,5.115907697472721e-13,,0.845794497,3.2399312e7,2.842170943040401e-14
2,4,0,2.5579538487363607e-13,,0.246287944,96544.0,-1.4210854715202004e-14
3,8,0,1.2789769243681803e-13,,0.480459641,190096.0,9.237055564881302e-14
4,16,0,2.7711166694643907e-13,,0.899001189,403296.0,-6.039613253960852e-14
5,32,7,2.0250467969162855e-13,,1.800699853,637120.0,-1.9984014443252818e-15
6,64,23,2.630118345336996e-13,,3.482999022,819008.0,7.549516567451064e-15
7,128,55,2.404743071338089e-13,,7.089241209,1.071936e6,-3.552713678800501e-15
8,256,119,2.503552920529728e-13,,13.84465342,1.613632e6,-3.9968028886505635e-15
9,512,247,2.2171153801764376e-13,,27.93039355,2.589504e6,-3.552713678800501e-15
10,1024,503,2.623457007189245e-13,,56.439702043,4.747648e6,6.217248937900877e-15
11,2048,1015,3.057554209817681e-13,,111.135577019,8.659776e6,-5.329070518200751e-15
12,4096,2039,3.1308289294429414e-13,,220.851971869,1.7271872e7,-4.440892098500626e-16
13,8192,2214,0.7659144541677537,,269.938868402,8.106680104e9,-451.0027537190979
14,16384,4485,0.7732299409038577,,525.654436676,1.5834561232e10,-451.000064309005
