round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,2.2737367544323206e-13,,0.936616985,3.2426912e7,8.526512829121202e-14
2,4,0,3.979039320256561e-13,,0.185680975,100992.0,2.4868995751603507e-14
3,8,0,1.1368683772161603e-13,,0.342992065,197936.0,-1.7763568394002505e-15
4,16,0,2.042810365310288e-14,,0.564752615,417920.0,8.881784197001252e-16
5,32,7,2.4868995751603507e-14,,1.209358661,665312.0,-8.881784197001252e-16
6,64,23,3.341771304121721e-14,,2.431411215,860608.0,0.0
7,128,55,2.6645352591003757e-14,,5.046550981,1.134016e6,-2.220446049250313e-15
8,256,119,2.120525977034049e-14,,9.130545368,1.716672e6,1.3322676295501878e-15
9,512,247,2.6867397195928788e-14,,19.587303815,2.774464e6,4.440892098500626e-16
10,1024,503,3.2529534621517087e-14,,37.918236969,5.096448e6,1.3322676295501878e-15
11,2048,1015,4.163336342344337e-14,,74.162360027,9.336256e6,-2.220446049250313e-15
12,4096,2039,4.973799150320701e-14,,149.286538053,1.8603712e7,-1.3322676295501878e-15
13,8192,57,2.858109955359587,,239.369170603,1.2774675848e10,-47.00107551795597
14,16384,695,3.8449244411004844,,463.289560437,2.4499056944e10,-47.97670271680046
