round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.0658141036401503e-14,,0.931819028,3.2396912e7,-3.552713678800501e-15
2,4,0,1.2434497875801753e-14,,0.113095753,96288.0,-8.881784197001252e-16
3,8,0,7.993605777301127e-15,,0.268739452,189648.0,-8.881784197001252e-16
4,16,0,1.4654943925052066e-14,,0.505826573,402464.0,0.0
5,32,7,1.27675647831893e-14,,0.955416827,635520.0,-2.4424906541753444e-15
6,64,23,1.4765966227514582e-14,,1.922874571,816704.0,-6.661338147750939e-16
7,128,55,1.709743457922741e-14,,3.89614878,1.068608e6,0.0
8,256,119,1.8540724511240114e-14,,7.827082127,1.608256e6,-3.1086244689504383e-15
9,512,247,1.6986412276764895e-14,,15.588273472,2.580032e6,-1.3322676295501878e-15
10,1024,503,2.220446049250313e-14,,30.877288669,4.729984e6,0.0
11,2048,1015,3.1308289294429414e-14,,62.21060974,8.625728e6,1.7763568394002505e-15
12,4096,2039,3.2862601528904634e-14,,124.083932183,1.7205056e7,4.440892098500626e-16
13,8192,3827,0.07029305161039645,,172.286542372,7.908119784e9,-28.94217400516884
14,16384,7678,0.06422924438061428,,342.050081739,1.5710716784e10,-28.941145030865286
