parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta1.1,0.990913445606338,0.005257598788769498,5.169675658755542e-5,9824.418136859102,9231.128865411729,0.9999468157399235,
theta1.2,0.009086554393662058,0.005257598788769498,5.169675658755534e-5,9824.418136859102,9231.128865411729,0.9999468157399235,
theta2.1,0.03515791473030497,0.019697599842235108,0.00019609606291018432,9465.315724595945,9456.89730170137,0.99999733465325,
theta2.2,0.964842085269695,0.019697599842235108,0.00019609606291018437,9465.315724595941,9456.89730170137,0.9999975522612453,
phi.1,1.7915298818389371,0.09784008736678806,0.0008187406739032058,14281.35426605012,14931.303209155521,0.9999565388617063,
phi.2,6.737740275542347,0.6127941643989683,0.005424758295988223,12733.526730266194,13629.79253171889,1.000005761213159,
lambda.1,0.028347692409475402,0.001549096996300082,1.2965374586368793e-5,14260.38089573464,14255.985605968111,0.9999417157445271,
lambda.2,0.0759809546330795,0.009837556282866537,9.590668071320453e-5,10432.042150939697,9987.588149583642,1.000190256906196,
theta.1.1,0.990913445606338,0.005257598788769498,5.169675658755542e-5,9824.418136859102,9231.128865411729,0.9999468157399235,
theta.2.1,0.03515791473030497,0.019697599842235108,0.00019609606291018432,9465.315724595945,9456.89730170137,0.99999733465325,
