round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,2.2737367544323206e-13,,2.278925783,3.2391776e7,-3.410605131648481e-13
2,4,0,1.0231815394945443e-12,,2.969993056,78720.0,-1.1368683772161603e-13
3,8,0,4.547473508864641e-13,,4.609376471,151856.0,-1.4210854715202004e-13
4,16,4,6.821210263296962e-13,,9.981321253,298064.0,7.127631818093505e-14
5,32,12,6.110667527536862e-13,,21.832006497,445376.0,-7.105427357601002e-15
6,64,28,5.615508058554042e-13,,43.421034953,723552.0,-9.547918011776346e-14
7,128,60,5.364597654988756e-13,,84.017062874,1.317984e6,-3.552713678800501e-15
8,256,124,5.794253965518692e-13,,162.081499151,2.453088e6,-3.8191672047105385e-14
9,512,252,5.893063814710331e-13,,329.917461763,4.826496e6,1.9095836023552692e-14
10,1024,508,5.960787419212465e-13,,623.519411132,9.371232e6,-4.884981308350689e-15
11,2048,62,2.258502362372372,,518.167619675,9.23218008e8,-1906.1738230204219
12,4096,1629,0.2484154356571704,,1327.900507228,2.411418016e9,-1902.9869506242417
