parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta1.1,0.6662906706464198,0.10057381381052659,0.00041867534797492413,57187.53182275434,67780.447773983,0.9999985533018357,
theta1.2,0.3337093293535802,0.10057381381052659,0.00041867534797492413,57187.53182275436,67780.447773983,0.9999985515648706,
theta2.1,0.07329064851694818,0.028676957611019623,0.00011728669226652498,57453.65947711629,62401.67023433429,0.9999931813245566,
theta2.2,0.9267093514830518,0.028676957611019623,0.00011728669226652506,57453.65947711629,62401.67023433429,0.9999931813245566,
mu.1,3.025110804390074,0.22376432092910373,0.0009491702350134516,55627.961475315235,68445.63051725186,1.0000059597823947,
mu.2,8.82618480649081,0.11053397574504889,0.0003121303674168126,125412.0466026606,127657.41735250592,0.9999959112347595,
theta.1.1,0.6662906706464198,0.10057381381052659,0.00041867534797492413,57187.53182275434,67780.447773983,0.9999985533018357,
theta.2.1,0.07329064851694818,0.028676957611019623,0.00011728669226652498,57453.65947711629,62401.67023433429,0.9999931813245566,
theta.1.2,0.3337093293535802,0.10057381381052659,0.00041867534797492413,57187.53182275436,67780.447773983,0.9999985515648706,
theta.2.2,0.9267093514830518,0.028676957611019623,0.00011728669226652506,57453.65947711629,62401.67023433429,0.9999931813245566,
