round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.1368683772161603e-13,,1.671066551,3.240296e7,7.105427357601002e-14
2,4,0,7.105427357601002e-14,,1.466368401,103840.0,-2.1316282072803006e-14
3,8,0,5.684341886080802e-14,,2.221941392,204688.0,3.552713678800501e-15
4,16,0,6.750155989720952e-14,,4.153592093,432480.0,1.7763568394002505e-15
5,32,7,5.684341886080802e-14,,8.859750293,695488.0,4.6629367034256575e-15
6,64,23,6.661338147750939e-14,,17.814750374,935744.0,8.881784197001252e-15
7,128,55,5.007105841059456e-14,,35.187075158,1.305408e6,3.552713678800501e-15
8,256,119,5.084821452783217e-14,,71.959408942,2.080576e6,1.3322676295501878e-15
9,512,247,7.338574192772285e-14,,141.782234468,3.523392e6,0.0
10,1024,503,4.9182879990894435e-14,,285.473715471,6.615424e6,-2.220446049250313e-15
11,2048,1015,8.060219158778636e-14,,556.046709523,1.2395328e7,0.0
12,4096,2039,7.005507285384738e-14,,1048.001804603,2.4742976e7,-8.881784197001252e-16
13,8192,2179,0.8095515619167429,,996.691683528,9.794197176e9,-172.71373487652812
14,16384,4393,0.8165389304878876,,1876.426826678,1.9539610896e10,-172.7192114185646
