round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.3642420526593924e-12,,0.571612359,5.125008e7,-2.2737367544323206e-13
2,4,0,2.2737367544323206e-13,,1.02640787,5.29646e7,3.410605131648481e-13
3,8,0,2.2737367544323206e-13,,0.186132474,90512.0,2.2737367544323206e-13
4,16,4,2.8421709430404007e-13,,0.272462733,159088.0,0.0
5,32,12,3.410605131648481e-13,,0.645664054,232464.0,-7.105427357601002e-14
6,64,28,6.465938895416912e-13,,1.055250018,394096.0,3.574918139293004e-14
7,128,60,5.399014568752136e-13,,2.823210146,729648.0,4.529709940470639e-14
8,256,124,4.902744876744691e-13,,4.436532902,1.350576e6,2.708944180085382e-14
9,512,252,5.456746166032644e-13,,8.859530331,2.657024e6,-1.199040866595169e-14
10,1024,508,6.591394097199554e-13,,18.020756827,5.187952e6,-9.325873406851315e-15
11,2048,1020,6.146194664324867e-13,,36.167152762,1.0438e7,3.9968028886505635e-15
12,4096,2044,4.85722573273506e-13,,71.919348381,2.0526e7,-1.7763568394002505e-15
13,8192,4092,6.283862319378386e-13,,143.460603567,4.1487632e7,3.552713678800501e-15
14,16384,8188,6.388223283693151e-13,,284.441551373,8.1889648e7,5.329070518200751e-15
15,32768,16380,7.418510250545296e-13,,570.002051948,1.65760832e8,-1.7763568394002505e-15
16,65536,16513,0.6832876458160994,,665.810701566,2.094180256e10,-1867.4977704537769
17,131072,36194,0.7083657038780884,,1335.352707315,4.1388737504e10,-1867.4838472127658
