round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,9.094947017729282e-13,,0.800044669,5.125008e7,0.0
2,4,0,6.821210263296962e-13,,0.978569458,5.29646e7,4.547473508864641e-13
3,8,0,4.547473508864641e-13,,0.326214389,90512.0,-1.1368683772161603e-13
4,16,4,3.979039320256561e-13,,0.327484404,159088.0,1.9895196601282805e-13
5,32,12,5.400124791776761e-13,,0.652466071,232464.0,2.1316282072803006e-14
6,64,28,5.115907697472721e-13,,1.144749383,394096.0,-3.552713678800501e-15
7,128,60,5.935252289646087e-13,,2.628833845,729648.0,2.7533531010703882e-14
8,256,124,5.880851361439454e-13,,5.322950998,1.350576e6,-2.1760371282653068e-14
9,512,252,6.614708780716683e-13,,9.955182404,2.657024e6,-1.9539925233402755e-14
10,1024,508,6.362688154126772e-13,,19.823807728,5.187952e6,-1.3322676295501878e-15
11,2048,1020,5.740963260336684e-13,,39.805780346,1.0438e7,-7.549516567451064e-15
12,4096,2044,6.272760089132134e-13,,78.932533067,2.0526e7,-1.2878587085651816e-14
13,8192,4092,5.601075159233915e-13,,158.177062184,4.1487632e7,3.552713678800501e-15
14,16384,8188,6.519229600598919e-13,,314.787829259,8.1889648e7,0.0
15,32768,16380,7.44737604918555e-13,,628.650291841,1.65760832e8,-7.105427357601002e-15
16,65536,23314,0.344396692618812,,726.174198957,2.1203738768e10,-1867.4812977599863
17,131072,48009,0.34308641588781974,,1442.732895858,4.2300174016e10,-1867.483255349448
