round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.4551915228366852e-11,,1.274234843,3.2399664e7,5.4569682106375694e-12
2,4,0,3.183231456205249e-12,,0.619760839,97088.0,-7.958078640513122e-13
3,8,0,2.2168933355715126e-12,,1.150560605,191024.0,-4.263256414560601e-13
4,16,0,9.947598300641403e-13,,1.449202879,404992.0,-8.526512829121202e-14
5,32,7,1.1226575225009583e-12,,3.307472538,640352.0,9.259260025373806e-14
6,64,23,1.0587086762825493e-12,,6.230559268,823232.0,-6.217248937900877e-15
7,128,55,1.0268452754758073e-12,,12.65507918,1.077184e6,2.7977620220553945e-14
8,256,119,1.2665424264923786e-12,,24.283571079,1.620928e6,6.661338147750939e-14
9,512,247,1.1902701047006303e-12,,42.57794103,2.600896e6,5.773159728050814e-15
10,1024,503,1.195599175218831e-12,,77.455652227,4.767232e6,-1.2434497875801753e-14
11,2048,1015,1.2161383011743965e-12,,153.118143825,8.695744e6,-1.3322676295501878e-15
12,4096,2039,1.131650329000422e-12,,303.621774285,1.7340608e7,1.1546319456101628e-14
13,8192,191,2.139230666773609,,358.125266771,8.580422744e9,-1872.5760279322758
14,16384,1101,2.886404240231256,,667.126573131,1.7088423552e10,-1873.367719258642
