round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,9.094947017729282e-13,,1.30136148,5.125008e7,-2.2737367544323206e-13
2,4,0,0.0,,1.460219323,5.29646e7,0.0
3,8,0,1.1368683772161603e-13,,0.213197902,90512.0,5.684341886080802e-14
4,16,4,1.7053025658242404e-13,,0.324737653,159088.0,8.526512829121202e-14
5,32,12,1.9895196601282805e-13,,0.660467975,232464.0,-2.8199664825478976e-14
6,64,28,4.761746552617296e-13,,1.341800077,394096.0,-6.417089082333405e-14
7,128,60,6.217248937900877e-13,,1.992184002,729648.0,-5.1958437552457326e-14
8,256,124,5.400124791776761e-13,,5.615958306,1.350576e6,-1.554312234475219e-14
9,512,252,5.28577182024037e-13,,9.849151212,2.657024e6,-2.7533531010703882e-14
10,1024,508,6.057376822354854e-13,,19.905329789,5.187952e6,6.661338147750939e-15
11,2048,1020,6.961098364399732e-13,,39.706774707,1.0438e7,-8.43769498715119e-15
12,4096,2044,6.527001161771295e-13,,79.894600087,2.0526e7,-8.881784197001252e-16
13,8192,4092,6.581402089977928e-13,,158.355744882,4.1487632e7,-8.881784197001252e-16
14,16384,8188,6.20725693067925e-13,,313.622524484,8.1889648e7,-5.329070518200751e-15
15,32768,16380,6.31050767196939e-13,,627.408222737,1.65760832e8,-2.6645352591003757e-15
16,65536,23459,0.3366143341866149,,728.70270306,2.1204072192e10,-1861.0738384231477
17,131072,47765,0.34117694925809317,,1512.048746177,4.2298095616e10,-1861.0723004963038
