round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,0.753133513,3.2360304e7,0.0
2,4,0,2.2737367544323206e-13,,0.128933932,50688.0,-2.2737367544323206e-13
3,8,0,0.0,,0.258813558,95856.0,0.0
4,16,4,1.7053025658242404e-13,,0.540768877,186128.0,-2.842170943040401e-14
5,32,12,3.268496584496461e-13,,1.207050115,222016.0,-4.241051954068098e-14
6,64,28,4.973799150320701e-13,,1.914018384,277472.0,6.061817714453355e-14
7,128,60,4.619638005465276e-13,,3.828546649,426464.0,-3.1530333899354446e-14
8,256,124,6.169509347841995e-13,,8.823738451,670688.0,-1.3322676295501878e-14
9,512,252,6.370459715299148e-13,,16.31172967,1.262336e6,-1.199040866595169e-14
10,1024,508,5.417888360170764e-13,,32.499101296,2.243552e6,2.1760371282653068e-14
11,2048,416,0.977149362419943,,35.243434036,1.145005208e9,-1911.7764441394181
12,4096,866,1.0450065612730262,,68.671279592,2.207956592e9,-1911.7875127642587
