round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,9.094947017729282e-13,,1.016732519,3.2396912e7,-2.2737367544323206e-13
2,4,0,4.547473508864641e-13,,0.240565593,96288.0,-2.2737367544323206e-13
3,8,0,7.958078640513122e-13,,0.329004405,189648.0,0.0
4,16,0,7.389644451905042e-13,,0.836987797,402464.0,-1.8451906669270102e-13
5,32,7,8.952838470577262e-13,,0.962840966,635520.0,2.90878432451791e-14
6,64,23,1.3073986337985843e-12,,1.929161234,816704.0,-1.176836406102666e-14
7,128,55,1.1369793995186228e-12,,4.669427532,1.068608e6,7.327471962526033e-14
8,256,119,1.3697931677825181e-12,,10.489827101,1.608256e6,-4.440892098500626e-16
9,512,247,1.4167556017241623e-12,,18.855781226,2.580032e6,4.529709940470639e-14
10,1024,503,1.2957412920400202e-12,,38.347358495,4.729984e6,-2.7977620220553945e-14
11,2048,1015,1.3876677584789832e-12,,76.955758856,8.625728e6,-2.2648549702353193e-14
12,4096,2039,1.3701262346899057e-12,,154.410754967,1.7205056e7,4.440892098500626e-16
13,8192,2074,0.7459583357161546,,216.2423597,9.58814076e9,-1914.8474384052197
14,16384,4377,0.7735878742351856,,428.139285832,1.8982595328e10,-1914.8256996032796
