round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,3.637978807091713e-12,,0.827967257,3.2399616e7,-1.8189894035458565e-12
2,4,0,4.547473508864641e-13,,0.528225213,96544.0,-3.979039320256561e-13
3,8,0,1.0231815394945443e-12,,0.705077541,206000.0,2.5579538487363607e-13
4,16,0,8.242295734817162e-13,,0.897893483,403296.0,9.969802761133906e-14
5,32,7,9.094947017729282e-13,,1.928091831,637120.0,1.638689184346731e-13
6,64,23,9.947598300641403e-13,,3.532539459,819008.0,-7.438494264988549e-14
7,128,55,1.0803580252627398e-12,,6.301831519,1.071936e6,-5.329070518200751e-15
8,256,119,1.11743947428522e-12,,11.642930607,1.613632e6,0.0
9,512,247,1.2714274078007293e-12,,22.388612607,2.589504e6,8.43769498715119e-15
10,1024,503,1.2096990076315706e-12,,47.023406319,4.747648e6,-2.353672812205332e-14
11,2048,1015,1.2467804566540508e-12,,94.058312603,8.659776e6,1.0658141036401503e-14
12,4096,2039,1.414979244884762e-12,,187.191632338,1.7271872e7,2.353672812205332e-14
13,8192,1065,1.3573553001716656,,223.603887112,9.485874312e9,-1877.004641985247
14,16384,2922,1.5368968650915553,,454.532929059,1.9250237136e10,-1877.0313483816599
