round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,3.637978807091713e-12,,0.500259293,5.124952e7,-9.094947017729282e-13
2,4,0,2.7284841053187847e-12,,0.901476918,5.2964056e7,-1.1368683772161603e-13
3,8,0,5.684341886080801e-13,,0.089331772,89136.0,-2.2737367544323206e-13
4,16,4,5.115907697472721e-13,,0.147267183,158000.0,-2.2737367544323206e-13
5,32,12,4.121147867408581e-13,,0.392200894,230800.0,7.105427357601002e-15
6,64,28,5.118128143521972e-13,,0.769207934,391920.0,-2.842170943040401e-14
7,128,60,4.691802502065912e-13,,1.356678896,726352.0,-1.5987211554602254e-14
8,256,124,6.413758413259529e-13,,2.054324854,1.345296e6,-3.241851231905457e-14
9,512,252,6.662448370775564e-13,,4.203609887,2.64768e6,1.3766765505351941e-14
10,1024,508,5.859757123971576e-13,,8.04314752,5.170416e6,7.105427357601002e-15
11,2048,1020,6.448175327022909e-13,,15.798741772,1.0403984e7,-7.993605777301127e-15
12,4096,2044,6.826761378420088e-13,,31.697526337,2.045928e7,-1.7763568394002505e-15
13,8192,4092,5.547784454051907e-13,,63.585541753,4.1355408e7,-8.881784197001252e-15
14,16384,8188,4.892752869523065e-13,,125.589735823,8.1626352e7,-8.881784197001252e-16
15,32768,16380,5.908606937055083e-13,,250.629696348,1.65235296e8,1.7763568394002505e-15
16,65536,6802,1.209019598949161,,346.928288452,2.0630732032e10,-1882.1757862103968
17,131072,20967,1.4572649648913245,,690.989395124,4.1257046864e10,-1882.3585215548528
