round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,1.111985947,5.124952e7,0.0
2,4,0,1.4210854715202004e-14,,1.127970767,5.2964056e7,-7.105427357601002e-15
3,8,0,1.7763568394002505e-14,,0.057273343,89136.0,-5.329070518200751e-15
4,16,4,3.197442310920451e-14,,0.097552364,158000.0,1.7763568394002505e-15
5,32,12,3.907985046680551e-14,,0.144596748,230800.0,-5.329070518200751e-15
6,64,28,3.197442310920451e-14,,0.276380476,391920.0,8.881784197001252e-16
7,128,60,2.7755575615628914e-14,,0.561272728,726352.0,-2.220446049250313e-15
8,256,124,3.1308289294429414e-14,,0.858586114,1.345296e6,0.0
9,512,252,2.6201263381153694e-14,,1.73010755,2.64768e6,-4.440892098500626e-16
10,1024,508,3.497202527569243e-14,,3.242861183,5.170416e6,-1.7763568394002505e-15
11,2048,1020,3.6637359812630166e-14,,6.26678893,1.0403984e7,-8.881784197001252e-16
12,4096,2044,5.88418203051333e-14,,12.014006803,2.045928e7,0.0
13,8192,4092,6.09512440519211e-14,,23.206191392,4.1355408e7,0.0
14,16384,8188,6.17284001691587e-14,,44.100131874,8.1626352e7,8.881784197001252e-16
15,32768,16380,5.806466418789569e-14,,78.690141609,1.65235296e8,2.6645352591003757e-15
16,65536,288,1.7531999634192488,,207.767587696,2.6749009776e10,-101.27482851701836
17,131072,1245,2.128490133258737,,412.333748774,5.2195573952e10,-101.78140061717285
