round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,0.95636644,3.2358672e7,0.0
2,4,0,2.2737367544323206e-13,,0.404484676,49888.0,-5.684341886080802e-14
3,8,0,1.7053025658242404e-13,,0.616262183,94480.0,5.684341886080802e-14
4,16,4,1.1368683772161603e-13,,1.226719755,183600.0,4.263256414560601e-14
5,32,12,4.263256414560601e-14,,2.477702824,218752.0,2.220446049250313e-16
6,64,28,1.1690648449302898e-13,,4.004772916,273184.0,-1.2878587085651816e-14
7,128,60,7.638334409421077e-14,,7.760957987,420128.0,-1.1102230246251565e-14
8,256,124,7.205347429817266e-14,,15.869055653,660256.0,1.3322676295501878e-15
9,512,252,2.453592884421596e-14,,30.553500839,1.243712e6,-4.440892098500626e-15
10,1024,508,4.729550084903167e-14,,62.27374959,2.208544e6,-1.3322676295501878e-15
11,2048,151,1.82821476907512,,64.573701927,1.621969912e9,-573.3647422425008
12,4096,442,1.9241753922909806,,130.761617072,3.067686048e9,-573.5889858510557
