round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.5916157281026244e-12,,1.727417941,3.2399312e7,-6.821210263296962e-13
2,4,0,5.684341886080801e-13,,1.711658591,96544.0,-5.684341886080802e-14
3,8,0,1.3642420526593924e-12,,2.017063144,190096.0,-8.526512829121202e-14
4,16,0,1.0800249583553523e-12,,4.117810925,403296.0,-1.7030821197749901e-13
5,32,7,9.237055564881302e-13,,8.261193912,637120.0,5.617728504603292e-14
6,64,23,7.674971769233707e-13,,15.255905325,819008.0,-2.55351295663786e-14
7,128,55,7.108758026674877e-13,,30.437556368,1.071936e6,8.43769498715119e-15
8,256,119,6.767919558114954e-13,,54.672717434,1.613632e6,1.6431300764452317e-14
9,512,247,6.225020499073253e-13,,99.015690344,2.589504e6,1.687538997430238e-14
10,1024,503,6.883382752675971e-13,,200.756950915,4.747648e6,7.549516567451064e-15
11,2048,1015,9.172662629453043e-13,,392.886552954,8.659776e6,4.440892098500626e-16
12,4096,2039,6.933342788784103e-13,,840.087908959,1.7271872e7,3.1086244689504383e-15
13,8192,519,1.9981072854375692,,850.738889431,1.1679346088e10,-1550.0155889368152
14,16384,1730,2.3732140179479986,,1531.007072544,2.3570271184e10,-1550.261530248351
