round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,4.547473508864641e-13,,0.684182489,5.124952e7,2.2737367544323206e-13
2,4,0,4.547473508864641e-13,,1.412121597,5.2964056e7,0.0
3,8,0,3.410605131648481e-13,,0.580734073,105024.0,1.1368683772161603e-13
4,16,4,4.547473508864641e-13,,0.678305224,158000.0,-1.5587531265737198e-13
5,32,12,2.8421709430404007e-13,,1.251090378,230800.0,2.1316282072803006e-14
6,64,28,4.761746552617296e-13,,2.373104363,391920.0,2.842170943040401e-14
7,128,60,3.695932448977146e-13,,4.126167959,726352.0,-1.9984014443252818e-14
8,256,124,3.33510996597397e-13,,7.951214434,1.345296e6,-1.2434497875801753e-14
9,512,252,3.9979131116751887e-13,,16.659072111,2.64768e6,-8.43769498715119e-15
10,1024,508,3.540501225529624e-13,,33.165389087,5.170416e6,-8.881784197001252e-16
11,2048,1020,3.455014052633487e-13,,67.598585516,1.0403984e7,-1.3766765505351941e-14
12,4096,2044,2.523536934972981e-13,,148.778268138,2.045928e7,-3.1086244689504383e-15
13,8192,4092,2.5579538487363607e-13,,276.591030097,4.1355408e7,-4.440892098500626e-15
14,16384,8188,3.262945469373335e-13,,505.891009573,8.1626352e7,-1.7763568394002505e-15
15,32768,16380,5.224709553885987e-13,,928.08759538,1.65235296e8,2.6645352591003757e-15
16,65536,3104,1.4256029551933271,,976.635068518,2.5808437072e10,-1564.8466372003202
17,131072,12765,1.8582172381368305,,1985.740803302,5.252469168e10,-1565.4374751719245
