round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,6.821210263296962e-13,,1.678257864,3.2399664e7,0.0
2,4,0,1.1368683772161603e-12,,1.432000938,97088.0,-1.7053025658242404e-13
3,8,0,9.663381206337363e-13,,2.098804021,191024.0,2.2737367544323206e-13
4,16,0,9.379164112033322e-13,,4.638761924,404992.0,1.5654144647214707e-13
5,32,7,7.958078640513122e-13,,9.009676879,640352.0,-1.412203687323199e-13
6,64,23,7.673861546209082e-13,,18.406691773,823232.0,-5.972999872483342e-14
7,128,55,8.066880496926387e-13,,30.042573734,1.077184e6,-2.7977620220553945e-14
8,256,119,8.083533842295765e-13,,56.25543565,1.620928e6,1.3322676295501878e-15
9,512,247,6.200595592531499e-13,,113.000840818,2.600896e6,7.549516567451064e-15
10,1024,503,7.214229214014267e-13,,218.074082003,4.767232e6,4.884981308350689e-15
11,2048,1015,6.626921233987559e-13,,438.286739446,8.695744e6,4.440892098500626e-16
12,4096,2039,7.971401316808624e-13,,885.01237908,1.7340608e7,-4.884981308350689e-15
13,8192,112,2.6225091360542625,,888.914900236,1.1229748424e10,-1552.2562350023727
14,16384,835,3.424157273784581,,1760.47502164,2.2750266208e10,-1553.1358129851224
