round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,0.638360253,5.125008e7,0.0
2,4,0,2.2737367544323206e-13,,1.07902032,5.29646e7,0.0
3,8,0,6.821210263296962e-13,,0.381201342,90512.0,2.842170943040401e-14
4,16,4,7.389644451905042e-13,,0.883653144,159088.0,-2.842170943040401e-14
5,32,12,3.694822225952521e-13,,1.271002548,232464.0,-1.27675647831893e-13
6,64,28,3.483879851273741e-13,,2.423505825,394096.0,-3.197442310920451e-14
7,128,60,2.772226892489016e-13,,7.467258407,729648.0,2.2648549702353193e-14
8,256,124,3.959055305813308e-13,,12.171043829,1.350576e6,-5.329070518200751e-15
9,512,252,2.594591208548991e-13,,24.36437092,2.657024e6,-9.769962616701378e-15
10,1024,508,2.4491519923230953e-13,,48.292233503,5.187952e6,7.993605777301127e-15
11,2048,1020,4.2943426592501055e-13,,96.134461002,1.0438e7,-6.217248937900877e-15
12,4096,2044,3.5771385853422544e-13,,194.725045488,2.0526e7,-2.6645352591003757e-15
13,8192,4092,4.071187831300449e-13,,384.230623705,4.1487632e7,1.7763568394002505e-15
14,16384,8188,5.117017920497346e-13,,766.949837751,8.1889648e7,0.0
15,32768,16380,3.6215475063272606e-13,,1536.668958741,1.65760832e8,-8.881784197001252e-16
16,65536,14697,1.0029647326725746,,1627.106007113,2.1965587408e10,-1550.6786077140307
17,131072,30295,1.0075064746492512,,3324.432824981,4.3891325168e10,-1550.663453536454
