round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,0.0,,0.770435388,5.125008e7,0.0
2,4,0,1.1368683772161603e-13,,1.269659628,5.2964232e7,-3.410605131648481e-13
3,8,0,5.115907697472721e-13,,0.436794955,89584.0,2.842170943040401e-14
4,16,4,4.547473508864641e-13,,0.751551353,158352.0,8.526512829121202e-14
5,32,12,4.263256414560601e-13,,1.577621178,231392.0,-1.354472090042691e-13
6,64,28,4.548583731889266e-13,,2.917336372,392768.0,-3.9745984281580604e-14
7,128,60,3.552713678800501e-13,,5.482560647,727760.0,1.687538997430238e-14
8,256,124,4.424238753131249e-13,,10.019198895,1.347696e6,-1.3322676295501878e-14
9,512,252,2.737809978725636e-13,,19.480248801,2.652112e6,7.105427357601002e-15
10,1024,508,4.085620730620576e-13,,36.543082612,5.178944e6,-1.7319479184152442e-14
11,2048,1020,3.191891195797325e-13,,68.151970131,1.0420752e7,-5.329070518200751e-15
12,4096,2044,3.063105324940807e-13,,106.960649178,2.04924e7,-4.440892098500626e-15
13,8192,4092,2.8765878568037806e-13,,204.911689323,4.142128e7,8.881784197001252e-16
14,16384,8188,4.32764934998886e-13,,388.663640454,8.175776e7,-2.6645352591003757e-15
15,32768,16380,5.511147094239277e-13,,767.286303322,1.65497824e8,8.881784197001252e-16
16,65536,547,1.6126358242891152,,935.575605187,1.7076124656e10,-1544.5507183896257
17,131072,2870,2.2179269410630837,,1985.277160518,3.5835072192e10,-1545.1119412839769
