round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,2.842170943040401e-14,,0.843504241,3.2399664e7,1.4210854715202004e-14
2,4,0,4.618527782440651e-14,,0.037611385,97088.0,1.9539925233402755e-14
3,8,0,1.199040866595169e-14,,0.087759754,191024.0,-2.220446049250313e-16
4,16,0,6.8833827526759706e-15,,0.159355111,404992.0,2.220446049250313e-16
5,32,7,5.440092820663267e-15,,0.304182056,640352.0,-1.3322676295501878e-15
6,64,23,5.218048215738236e-15,,0.709372542,823232.0,-1.7763568394002505e-15
7,128,55,5.662137425588298e-15,,1.354611513,1.077184e6,0.0
8,256,119,5.440092820663267e-15,,2.951191138,1.620928e6,8.881784197001252e-16
9,512,247,6.994405055138486e-15,,5.633542971,2.600896e6,0.0
10,1024,503,1.099120794378905e-14,,11.007371314,4.767232e6,-4.440892098500626e-16
11,2048,1015,1.2656542480726785e-14,,22.061199407,8.695744e6,8.881784197001252e-16
12,4096,2039,1.176836406102666e-14,,43.847203021,1.7340608e7,0.0
13,8192,1078,1.4138654072195125,,95.480186772,8.592869832e9,-21.558508793172848
14,16384,2898,1.5655484195245304,,188.410125922,1.703558552e10,-21.698707516849495
