round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,2.842170943040401e-14,,0.591666083,5.12512e7,-1.4210854715202004e-14
2,4,0,1.4210854715202004e-14,,0.980201281,5.296532e7,-1.7763568394002505e-15
3,8,0,7.105427357601002e-15,,0.082959373,92336.0,3.1086244689504383e-15
4,16,4,3.3306690738754696e-15,,0.078827743,160528.0,4.440892098500626e-16
5,32,12,3.885780586188048e-15,,0.161503375,234720.0,-2.220446049250313e-16
6,64,28,3.3306690738754696e-15,,0.310057525,397120.0,4.440892098500626e-16
7,128,60,2.3314683517128287e-15,,0.673588478,734352.0,4.440892098500626e-16
8,256,124,3.885780586188048e-15,,1.289261105,1.358256e6,-1.3322676295501878e-15
9,512,252,4.773959005888173e-15,,2.75049361,2.6708e6,0.0
10,1024,508,7.216449660063518e-15,,5.173055884,5.214016e6,4.440892098500626e-16
11,2048,1020,7.882583474838611e-15,,10.433805296,1.0488784e7,-4.440892098500626e-16
12,4096,2044,6.8833827526759706e-15,,20.773272369,2.062584e7,0.0
13,8192,4092,8.659739592076221e-15,,40.684204997,4.1685728e7,0.0
14,16384,8188,7.771561172376096e-15,,82.175615019,8.2284352e7,1.7763568394002505e-15
15,32768,16380,8.326672684688674e-15,,171.446163278,1.66548896e8,0.0
16,65536,3691,1.5977055020679154,,340.300277602,2.6752299168e10,-20.809211227954137
17,131072,14019,2.0410291935394347,,666.06135195,5.2423974128e10,-21.10112682256356
