round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.4210854715202004e-14,,0.635244245,5.125064e7,-7.105427357601002e-15
2,4,0,1.4210854715202004e-14,,1.019254805,5.2965144e7,-8.881784197001252e-15
3,8,0,1.9539925233402755e-14,,0.065618954,91888.0,-1.7763568394002505e-15
4,16,4,3.552713678800501e-15,,0.081643911,160176.0,2.220446049250313e-16
5,32,12,4.9960036108132044e-15,,0.103763252,234128.0,0.0
6,64,28,2.220446049250313e-15,,0.180284057,396272.0,0.0
7,128,60,3.219646771412954e-15,,0.387929615,732944.0,8.881784197001252e-16
8,256,124,3.4416913763379853e-15,,0.71652155,1.355856e6,0.0
9,512,252,5.440092820663267e-15,,1.568038233,2.666368e6,4.440892098500626e-16
10,1024,508,6.328271240363392e-15,,2.817586633,5.205488e6,0.0
11,2048,1020,7.771561172376096e-15,,5.954813865,1.0472016e7,0.0
12,4096,2044,5.440092820663267e-15,,11.717860047,2.059272e7,-4.440892098500626e-16
13,8192,4092,7.66053886991358e-15,,23.090602351,4.1619856e7,-8.881784197001252e-16
14,16384,8188,6.8833827526759706e-15,,45.938559094,8.2152944e7,1.7763568394002505e-15
15,32768,16380,7.993605777301127e-15,,101.035697239,1.66286368e8,8.881784197001252e-16
16,65536,5715,1.834666293290925,,219.629337913,1.841857096e10,-20.193567971977934
17,131072,15471,2.0703473384767537,,431.06405989,3.5719562608e10,-20.39651674452913
