round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,2.842170943040401e-14,,0.654691573,5.124952e7,-7.105427357601002e-15
2,4,0,2.4868995751603507e-14,,0.873436838,5.2964056e7,-1.4210854715202004e-14
3,8,0,9.769962616701378e-15,,0.041225313,89136.0,1.3322676295501878e-15
4,16,4,5.329070518200751e-15,,0.081749154,158000.0,0.0
5,32,12,8.881784197001252e-15,,0.060978802,230800.0,-2.220446049250313e-16
6,64,28,6.772360450213455e-15,,0.09422928,391920.0,-4.440892098500626e-16
7,128,60,7.438494264988549e-15,,0.215003217,726352.0,0.0
8,256,124,8.326672684688674e-15,,0.358951934,1.345296e6,8.881784197001252e-16
9,512,252,8.43769498715119e-15,,0.737155905,2.64768e6,0.0
10,1024,508,1.27675647831893e-14,,1.414497377,5.170416e6,-4.440892098500626e-16
11,2048,1020,1.2101430968414206e-14,,2.750618326,1.0403984e7,0.0
12,4096,2044,1.2989609388114332e-14,,5.524926944,2.045928e7,0.0
13,8192,4092,1.4765966227514582e-14,,11.301115804,4.1355408e7,-8.881784197001252e-16
14,16384,8188,1.3655743202889425e-14,,21.957937824,8.1626352e7,8.881784197001252e-16
15,32768,16380,1.2323475573339238e-14,,42.756867669,1.65235296e8,-8.881784197001252e-16
16,65536,21412,0.4491659588690863,,135.508947321,2.0539241936e10,-29.756464844890914
17,131072,44080,0.4560129199213159,,269.298864423,4.0750985968e10,-29.754108904543877
