round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,4.973799150320701e-14,,1.007010375,3.2404816e7,3.552713678800501e-15
2,4,0,2.6645352591003757e-14,,0.095827856,98144.0,-1.2434497875801753e-14
3,8,0,1.2878587085651816e-14,,0.198944096,192848.0,1.7763568394002505e-15
4,16,0,7.549516567451064e-15,,0.428778497,408352.0,2.220446049250313e-16
5,32,7,6.217248937900877e-15,,0.856203458,646784.0,6.661338147750939e-16
6,64,23,5.995204332975845e-15,,1.794569057,832064.0,2.220446049250313e-16
7,128,55,3.885780586188048e-15,,3.734860017,1.089088e6,-8.881784197001252e-16
8,256,119,4.884981308350689e-15,,7.348435721,1.638976e6,1.7763568394002505e-15
9,512,247,6.661338147750939e-15,,14.711015021,2.631232e6,-4.440892098500626e-16
10,1024,503,9.325873406851315e-15,,29.703892114,4.822144e6,-4.440892098500626e-16
11,2048,1015,1.1657341758564144e-14,,59.34439335,8.799808e6,0.0
12,4096,2039,1.4099832412739488e-14,,118.760146896,1.7542976e7,0.0
13,8192,1102,1.6389097017883292,,203.177914429,1.2622929544e10,-20.48199124571436
14,16384,2699,1.7325827176119204,,398.788706097,2.4884401088e10,-20.528013610142306
