parameters,mean,std,mcse,ess_bulk,ess_tail,rhat,ess_per_sec
theta.1,0.5479340286332907,0.062347266387589084,0.0015298697376278812,1697.7452143932437,2026.0951896573074,1.0002096081964347,
theta.2,0.027763337690806147,0.004135131214167964,9.765425730365315e-5,1805.009455046225,2128.8959573039733,1.000023939792648,
theta.3,0.7986234114200126,0.08836831087138769,0.002209347805739577,1624.0608727538017,1796.1291183868395,1.0001924448040918,
theta.4,0.02403334754758219,0.003502609016672383,8.595109551062586e-5,1695.179397293339,1893.9631893875126,1.0005253537292373,
z_init.1,34.03299375701148,2.9084040901298573,0.045367679235692876,4139.250358721459,5562.934941293929,1.000024730125705,
z_init.2,5.94264162583454,0.5214235793655552,0.00834465129126846,4017.4624595868595,4380.480535112748,1.0003208764147642,
sigma.1,0.24787573893776121,0.04301761977780022,0.0006585462205086081,4474.592995439465,5450.358105281112,1.0001615981568872,
sigma.2,0.24921420124114563,0.04403818130399382,0.0006607073586673986,4476.615370989685,6074.652806053275,1.0004038206608001,
z.1.1,49.366321264174815,4.483756163787762,0.08272887136433724,2971.9999297511044,4149.56117782302,1.0000116966367456,
z.2.1,65.83916264085391,6.625689918286936,0.1321220340124688,2524.9727506429094,3362.932851286428,1.0003268208753051,
