round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.7053025658242404e-13,,7.961620997,3.242376e7,2.842170943040401e-14
2,4,0,4.263256414560601e-14,,4.103575278,103648.0,-1.4210854715202004e-14
3,8,0,1.2079226507921703e-13,,7.396679609,203856.0,-3.552713678800501e-15
4,16,0,7.815970093361102e-14,,13.900209355,430368.0,1.0658141036401503e-14
5,32,7,7.471800955727304e-14,,28.775932252,690816.0,5.995204332975845e-15
6,64,23,6.716849298982197e-14,,56.388620762,920128.0,5.10702591327572e-15
7,128,55,6.550315845288424e-14,,113.470146759,1.265216e6,1.7763568394002505e-15
8,256,119,4.2521541843143495e-14,,221.688167206,1.991232e6,-8.881784197001252e-16
9,512,247,5.007105841059456e-14,,424.232443463,3.335744e6,-2.6645352591003757e-15
10,1024,503,3.574918139293004e-14,,752.632091125,6.231168e6,-1.3322676295501878e-15
11,2048,1015,3.097522238704187e-14,,1296.576610152,1.1617856e7,-4.440892098500626e-16
12,4096,2039,4.7628567756419216e-14,,2640.587227964,2.3179072e7,1.3322676295501878e-15
13,8192,895,2.2690113667210605,,2645.47318136,1.366475948e10,-147.1712500020222
14,16384,2049,2.358215181363447,,5554.037276448,2.7167009456e10,-147.10293119371568
