round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.3642420526593924e-12,,1.285516359,5.125008e7,0.0
2,4,0,6.821210263296962e-13,,1.857269479,5.29646e7,0.0
3,8,0,3.410605131648481e-13,,1.455808456,90512.0,-2.8421709430404007e-13
4,16,4,5.684341886080802e-14,,3.415523228,159088.0,-2.842170943040401e-14
5,32,12,2.5579538487363607e-13,,5.840190327,232464.0,2.842170943040401e-14
6,64,28,9.936496070395151e-14,,9.016941259,394096.0,-1.4210854715202004e-14
7,128,60,1.2079226507921703e-13,,36.079844602,729648.0,3.597122599785507e-14
8,256,124,1.1735057370287905e-13,,56.823838359,1.350576e6,-4.440892098500626e-16
9,512,252,6.405986852087153e-14,,114.57972669,2.657024e6,3.9968028886505635e-15
10,1024,508,1.092459456231154e-13,,230.894548348,5.187952e6,1.7763568394002505e-15
11,2048,1020,0.0,,493.634187091,1.0438e7,0.0
12,4096,2044,9.969802761133906e-14,,1112.191719073,2.0526e7,-3.1086244689504383e-15
13,8192,4092,0.0,,2224.877566047,4.1487632e7,0.0
14,16384,8188,6.272760089132134e-14,,4266.43891992,8.1889648e7,0.0
15,32768,16380,1.5165646516379638e-13,,7593.567730215,1.65760832e8,1.7763568394002505e-15
16,65536,23597,0.37168719364119396,,7028.756350214,2.4188504768e10,-2117.0710312823776
17,131072,47174,0.3741513366573733,,13940.009624821,4.8196759568e10,-2117.069272202227
