round,n_scans,n_tempered_restarts,global_barrier,global_barrier_variational,last_round_max_time,last_round_max_allocation,stepping_stone
1,2,0,1.1368683772161603e-13,,0.747588432,3.240512e7,-5.684341886080802e-14
2,4,0,1.4210854715202004e-13,,0.102347559,98144.0,0.0
3,8,0,1.5631940186722204e-13,,0.207985515,192848.0,1.4210854715202004e-14
4,16,0,1.3500311979441904e-13,,0.355198389,408352.0,2.1316282072803006e-14
5,32,7,1.4921397450962104e-13,,0.686414446,646784.0,5.551115123125783e-15
6,64,23,1.120215031846783e-13,,1.3065103,832064.0,2.4424906541753444e-15
7,128,55,7.72715225139109e-14,,2.64537078,1.089088e6,-4.440892098500626e-15
8,256,119,1.0369483049998962e-13,,5.385303707,1.638976e6,4.884981308350689e-15
9,512,247,8.271161533457416e-14,,10.923240418,2.631232e6,4.440892098500626e-15
10,1024,503,1.1313172620930345e-13,,21.795992642,4.822144e6,1.7763568394002505e-15
11,2048,1015,7.716050021144838e-14,,43.791856358,8.799808e6,-4.440892098500626e-16
12,4096,2039,1.1146639167236572e-13,,87.048023322,1.7542976e7,-1.7763568394002505e-15
13,8192,926,1.8032287880640894,,135.833256631,1.2089580104e10,-277.74522930991964
14,16384,2214,1.9428295002862432,,272.943608405,2.4331614096e10,-277.8324194143131
